Ax,Ay,Az,Vector
-5696,-14320,-32768,36211.16734
-27756,-9732,-32768,44032.36519
-31824,4684,-32768,45917.84681
32767,5064,32767,46615.41241
-11208,-16020,-32768,38157.58755
23292,188,20120,30779.32761
10348,-4312,10024,15038.45152
11936,-484,-13960,18373.45781
16424,-212,4332,16987.02281
9660,-52,-5484,11108.22038
13064,104,-492,13073.67492
20580,848,6680,21653.58871
17496,-1360,4836,18202.92592
22992,-904,2656,23162.5477
18412,-1400,5456,19254.34185
14892,-812,1240,14965.58078
14428,12,6700,15907.77571
15624,-1624,-1532,15782.70496
16532,-980,-268,16563.18955
15452,-1212,-3656,15924.81033
18572,-692,1824,18674.18068
16200,164,8176,18147.00725
16816,-824,1732,16925.03046
18224,-1172,-4052,18705.78691
17716,-1380,-3600,18130.66618
17232,-1284,8112,19089.13366
19220,-1612,7308,20625.562
18472,-856,3196,18765.97815
19036,280,11004,21989.44547
17892,-12,11472,21253.95474
15500,2668,28820,32832.31067
32767,-13908,25816,43972.4301
32767,-6384,32767,46777.21704
32767,-3324,32767,46458.60043
-32768,14016,-14948,38647.54564
32767,-11880,15892,38306.2182
32767,6548,32767,46799.88122
23568,-176,5088,24111.60185
29848,4108,20292,36325.52865
17268,-18564,-32768,41431.24116
19428,-844,6044,20363.92536
15676,564,3124,15994.20045
13228,-3184,-16,13605.81111
16620,964,4576,17265.38363
19304,-1556,3312,19647.77076
23900,-2392,7984,25311.5768
14928,1336,2492,15193.42437
14224,-1168,3948,14807.87304
18516,1228,1424,18611.2336
20456,-996,584,20488.55798
18012,-1476,1328,18121.10107
12476,-184,-2528,12730.87648
17156,-612,3940,17613.24729
15160,168,7232,16797.48934
18172,-300,9364,20444.95243
13308,-20,1200,13362.00823
18984,-552,2352,19137.10699
17588,-948,4564,18195.2341
14492,384,5560,15526.72277
18148,-1644,-3160,18494.27587
19196,-816,-2708,19403.23519
17872,-496,620,17889.62828
17152,456,8804,19284.95414
16800,120,17292,24109.49323
26956,4712,32,27364.7566
-13376,968,-32768,35406.16082
32767,-20444,1672,38657.84537
32767,7932,32767,47013.50021
32767,-1876,32767,46377.49405
5432,-5956,-9864,12738.8797
32767,10328,32767,47476.52222
32767,5780,32767,46698.61859
26684,252,7304,27666.72688
11924,488,-11884,16841.89348
16720,656,6052,17793.69102
11464,-184,-1840,11612.18119
14164,-956,1520,14277.36782
20092,-2640,6424,21258.54746
16232,-700,7164,17756.42757
20040,-1532,3360,20377.39493
14268,-1468,-200,14344.71498
14616,-1276,1372,14735.60369
15268,-2100,4896,16170.73406
16692,-1764,760,16802.14748
11596,-620,1440,11701.50486
16820,-1868,3188,17221.06756
17748,-1656,-3504,18166.22845
19452,-228,3672,19796.86521
16232,-80,-7268,17785.05125
20560,-732,2572,20733.17651
19796,-1080,-628,19835.38253
17032,-1616,-8664,19177.20981
15776,-544,-1452,15852.01615
17252,-440,-816,17276.89092
18244,-1464,7428,19752.51923
17468,-156,8960,19632.54848
11776,-300,7812,14134.76282
25384,-8860,10216,28761.3232
32767,-9756,32767,47355.38105
32767,-14332,25532,43942.75295
-32768,1548,-32768,46366.79795
32767,-13912,32767,48382.81019
32767,4688,32767,46576.06598
32767,2712,32767,46418.82724
2600,3448,-7420,8585.167675
10384,-11340,-21820,26693.35977
9380,-1680,-5956,11237.47018
16468,1136,4288,17054.98355
11992,-504,-2508,12261.8165
17292,228,1444,17353.68503
21484,1040,8468,23116.0308
14764,1728,80,14864.99512
14248,1248,7100,15967.87425
23280,-1432,5504,23964.62059
15264,-1860,-2472,15574.34044
16092,-664,-152,16106.41065
15832,36,552,15841.66102
14764,-1844,-6784,16352.32974
18108,-148,5056,18801.1889
16128,-48,-3932,16600.4612
17492,-1268,-1864,17636.67724
16696,-1180,-5516,17623.14024
17228,-564,-16,17237.2369
16440,-468,5912,17476.96678
19324,-1792,-1180,19442.75289
13708,1380,3716,14269.62929
17652,540,7816,19312.54929
17948,-24,8852,20012.22586
13700,1808,8448,16196.5295
3116,4276,-2776,5974.931631
21528,2404,-872,21679.35386
-32768,9920,-17312,38364.74382
-21724,-13692,-32768,41631.05648
6000,9552,-4968,12325.65325
32767,788,32767,46346.23525
32767,8044,32767,47032.52613
-11960,-10092,-32768,36312.97135
16976,-2752,7788,18878.85124
15704,-2352,-15292,22045.24402
22016,164,12780,25457.01381
15540,488,4448,16171.40835
16388,336,2456,16574.41933
13620,12,-1548,13707.69302
13520,-348,-256,13526.90061
18764,-172,5812,19644.25168
21136,3004,5352,22009.05305
20704,-416,-2008,20805.30548
20108,744,6580,21170.29995
17464,-1664,3560,17900.66457
20084,-512,4260,20537.20526
17184,-1148,1920,17328.99766
18184,-412,1276,18233.36985
18216,328,3088,18478.79823
17292,-544,248,17302.33233
18684,-1044,-740,18727.77061
14200,612,7360,16005.75347
17180,-1684,-3220,17560.08702
14976,1296,3328,15395.96622
16480,-1272,1624,16608.605
16056,-720,3384,16424.5241
18796,-1588,3024,19103.81993
17420,-212,4880,18091.86956
17212,-1420,7004,18636.66708
18104,-348,8692,20085.4869
23392,176,12796,26663.72547
2176,-3392,-3260,5183.458305
32767,-13016,916,35269.41453
-25580,-4356,-32768,41797.76262
32767,5024,32767,46611.08403
32767,6544,32767,46799.32173
-30268,-3980,-32768,44785.42227
-968,-5604,-32768,33257.83613
21588,13868,-21200,33283.6772
10536,392,-3600,11140.95867
17444,-300,6116,18487.52531
12808,628,-1708,12936.63449
14060,608,112,14073.58547
18136,-176,9424,20439.11074
19924,2728,7164,21347.84898
15828,3016,7652,17837.45901
15460,904,8672,17749.15209
23780,-516,2224,23889.34557
18860,-432,9972,21338.39282
19496,-148,11712,22743.94126
17788,1416,11108,21019.17372
18404,-364,-224,18408.96217
14272,-1436,1672,14441.17945
18068,-1584,-2732,18341.90568
15224,532,-2024,15367.16552
16716,-1736,4760,17466.99608
15960,88,160,15961.04458
17988,-1716,-3508,18407.033
16012,652,2460,16212.98393
20156,-436,6760,21263.86682
15776,-576,7960,17679.80633
17000,-752,9468,19473.27728
21164,-7600,18564,29159.8524
32767,-15776,32767,48951.35089
32767,13156,32767,48170.87205
-21024,-8908,-32768,39938.73889
-32768,-6896,-32768,46851.23759
32767,11472,32767,47738.44742
31456,-1652,10892,33329.33699
15516,-5736,-16488,23355.9863
14228,1204,-17928,22919.39755
17904,396,9508,20275.89939
15176,-64,2384,15362.24359
15468,-3300,2400,15997.15675
6864,-840,4564,8285.541141
14884,2256,-140,15054.6535
18468,-188,6544,19594.03746
17940,-1472,1436,18057.47712
20324,-284,2976,20542.69233
16420,-1484,-6144,17594.52733
18756,-1088,-236,18789.01211
10332,1452,9072,13826.05193
16264,-760,1288,16332.61277
13828,-1060,4788,14671.81407
17880,-2172,708,18025.35015
13688,228,8068,15890.43587
20148,-424,6092,21053.1267
20396,-1640,-1156,20494.45662
12384,-8,-2108,12562.13294
20036,-1308,4900,20667.90168
17724,692,840,17757.38269
17436,-908,7252,18905.8209
16872,-580,10240,19744.83183
2392,2536,20564,20857.39811
20368,13888,1660,24708.04662
8760,16912,30332,35815.96806
32767,13812,32767,48354.15103
32767,-7560,32767,46952.16904
32767,2412,32767,46402.26635
-8700,-5540,-32768,34352.92453
-1680,-3472,-25392,25683.27954
16584,-14600,-25448,33701.48009
13548,-2280,-5624,14845.06922
19144,2940,7180,20656.44539
13420,-300,804,13447.40927
15332,1352,1844,15501.56328
23856,-4512,13896,27974.3757
16804,96,7860,18551.63691
22392,-1872,328,22472.50836
20032,352,6072,20934.9973
