213,1040,1657
2479,3918,4729
4519,5343,5564
4755,5173,5596
4785,5170,5563
4737,5119,5507
4688,5090,5581
4865,5365,5882
5174,5513,5862
4992,5323,5656
4870,5299,5773
5031,5513,5954
5149,5477,5809
4918,5268,5646
4840,5241,5665
4873,5279,5711
4946,5352,5786
5021,5437,5846
5069,5451,5827
5006,5386,5780
4986,5409,5836
5051,5436,5831
4999,5359,5739
4934,5317,5716
4923,5315,5701
4889,5268,5661
4854,5261,5689
4934,5355,5782
4991,5372,5741
4905,5282,5678
4889,5293,5719
4927,5319,5707
4905,5283,5669
4857,5247,5628
4822,5208,5593
4778,5190,5591
4800,5231,5664
4866,5300,5713
4908,5292,5686
4846,5229,5624
4831,5240,5660
4881,5291,5693
4886,5285,5671
4852,5242,5635
4827,5223,5611
4789,5180,5556
4734,5144,5550
4742,5151,5567
4772,5192,5614
4845,5243,5632
4809,5197,5543
4723,5091,5461
4612,5003,5367
4572,4987,5405
4614,5066,5470
4669,5085,5477
4631,5028,5406
4575,4988,5405
4602,5039,5459
4648,5064,5466
4641,5045,5461
4658,5089,5515
4721,5133,5542
4728,5136,5522
4689,5067,5441
4594,5006,5414
4611,5029,5437
4618,5033,5465
4685,5149,5573
4769,5142,5506
4638,5045,5442
4649,5079,5500
4675,5078,5470
4645,5054,5459
4658,5082,5495
4686,5097,5484
4653,5028,5362
4491,4858,5207
4390,4862,5324
4557,5038,5479
4670,5082,5492
4669,5085,5494
4694,5108,5529
4716,5123,5513
4699,5092,5500
4692,5110,5509
4696,5074,5453
4624,5038,5450
4672,5107,5521
4693,5093,5470
4634,5041,5469
4665,5097,5556
4789,5215,5637
4838,5219,5588
4751,5149,5549
4741,5155,5579
4779,5184,5576
4755,5136,5516
4686,5098,5503
4702,5115,5533
4717,5128,5544
4742,5151,5551
4729,5111,5486
4651,5064,5464
4645,5066,5482
4656,5081,5504
4690,5100,5516
4700,5113,5542
4743,5158,5563
4751,5135,5532
4722,5137,5549
4758,5182,5599
4776,5152,5575
4835,4960,4941
3662,3390,2770
1395,1213,296
-1776,-2517,-3620
-5577,-5336,-5002
